Country Name,Country Code,Region,Year,Fertility Rate
Aruba,ABW,The Americas,1980,4.82
Afghanistan,AFG,Asia,1980,7.45
Angola,AGO,Africa,1980,7.379
Albania,ALB,Europe,1980,6.186
United Arab Emirates,ARE,Middle East,1980,6.928
Argentina,ARG,The Americas,1980,3.109
Armenia,ARM,Asia,1980,4.55
Antigua and Barbuda,ATG,The Americas,1980,4.425
Australia,AUS,Oceania,1980,3.453
Austria,AUT,Europe,1980,2.69
Azerbaijan,AZE,Asia,1980,5.571
Burundi,BDI,Africa,1980,6.953
Belgium,BEL,Europe,1980,2.54
Benin,BEN,Africa,1980,6.282
Burkina Faso,BFA,Africa,1980,6.291
Bangladesh,BGD,Asia,1980,6.725
Bulgaria,BGR,Europe,1980,2.31
Bahrain,BHR,Middle East,1980,7.09
Bosnia and Herzegovina,BIH,Europe,1980,3.77
Belarus,BLR,Europe,1980,2.67
Belize,BLZ,The Americas,1980,6.5
Bolivia,BOL,The Americas,1980,6.7
Brazil,BRA,The Americas,1980,6.21
Barbados,BRB,The Americas,1980,4.333
Brunei Darussalam,BRN,Asia,1980,6.487
Bhutan,BTN,Asia,1980,6.67
Botswana,BWA,Africa,1980,6.615
Central African Republic,CAF,Africa,1980,5.84
Canada,CAN,The Americas,1980,3.811
Switzerland,CHE,Europe,1980,2.44
Chile,CHL,The Americas,1980,5.113
China,CHN,Asia,1980,5.758
Cote d'Ivoire,CIV,Africa,1980,7.351
Cameroon,CMR,Africa,1980,5.647
Colombia,COL,The Americas,1980,6.807
Comoros,COM,Africa,1980,6.792
Cabo Verde,CPV,Africa,1980,6.885
Costa Rica,CRI,The Americas,1980,6.451
Cuba,CUB,The Americas,1980,4.182
Cyprus,CYP,Europe,1980,3.5
Czech Republic,CZE,Europe,1980,2.09
Germany,DEU,Europe,1980,2.37
Djibouti,DJI,Africa,1980,6.461
Denmark,DNK,Europe,1980,2.57
Dominican Republic,DOM,The Americas,1980,7.555
Algeria,DZA,Africa,1980,7.524
Ecuador,ECU,The Americas,1980,6.721
Eritrea,ERI,Africa,1980,6.899
Spain,ESP,Europe,1980,2.86
Estonia,EST,Europe,1980,1.98
Ethiopia,ETH,Africa,1980,6.88
Finland,FIN,Europe,1980,2.72
Fiji,FJI,Oceania,1980,6.461
France,FRA,Europe,1980,2.85
Gabon,GAB,Africa,1980,4.384
United Kingdom,GBR,Europe,1980,2.69
Georgia,GEO,Asia,1980,2.964
Ghana,GHA,Africa,1980,6.749
Guinea,GIN,Africa,1980,6.114
Guinea-Bissau,GNB,Africa,1980,5.921
Equatorial Guinea,GNQ,Africa,1980,5.505
Greece,GRC,Europe,1980,2.23
Grenada,GRD,The Americas,1980,6.743
Guatemala,GTM,The Americas,1980,6.534
Guam,GUM,Oceania,1980,6.052
Guyana,GUY,The Americas,1980,5.754
Honduras,HND,The Americas,1980,7.458
Croatia,HRV,Europe,1980,2.332
Haiti,HTI,The Americas,1980,6.324
Hungary,HUN,Europe,1980,2.02
Indonesia,IDN,Asia,1980,5.666
India,IND,Asia,1980,5.906
Ireland,IRL,Europe,1980,3.78
Iraq,IRQ,Middle East,1980,6.252
Iceland,ISL,Europe,1980,4.29
Italy,ITA,Europe,1980,2.37
Jamaica,JAM,The Americas,1980,5.419
Jordan,JOR,Middle East,1980,7.687
Japan,JPN,Asia,1980,2.001
Kazakhstan,KAZ,Asia,1980,4.563
Kenya,KEN,Africa,1980,7.946
Kyrgyz Republic,KGZ,Asia,1980,5.166
Cambodia,KHM,Asia,1980,6.967
Kiribati,KIR,Oceania,1980,6.788
Kuwait,KWT,Middle East,1980,7.251
Lao PDR,LAO,Asia,1980,5.961
Lebanon,LBN,Middle East,1980,5.739
Liberia,LBR,Africa,1980,6.406
Libya,LBY,Africa,1980,7.202
St. Lucia,LCA,The Americas,1980,6.967
Sri Lanka,LKA,Asia,1980,5.541
Lesotho,LSO,Africa,1980,5.839
Lithuania,LTU,Europe,1980,2.56
Luxembourg,LUX,Europe,1980,2.29
Latvia,LVA,Europe,1980,1.94
Morocco,MAR,Africa,1980,7.065
Moldova,MDA,Europe,1980,3.328
Madagascar,MDG,Africa,1980,7.3
Maldives,MDV,Asia,1980,7.021
Mexico,MEX,The Americas,1980,6.768
Mali,MLI,Africa,1980,6.967
Malta,MLT,Europe,1980,3.62
Myanmar,MMR,Asia,1980,6.051
Montenegro,MNE,Europe,1980,3.521
Mongolia,MNG,Asia,1980,6.953
Mozambique,MOZ,Africa,1980,6.6
Mauritania,MRT,Africa,1980,6.775
Mauritius,MUS,Africa,1980,6.167
Malawi,MWI,Africa,1980,6.94
Malaysia,MYS,Asia,1980,6.194
Namibia,NAM,Africa,1980,6.15
New Caledonia,NCL,Oceania,1980,6.278
Niger,NER,Africa,1980,7.407
Nigeria,NGA,Africa,1980,6.354
Nicaragua,NIC,The Americas,1980,7.336
Netherlands,NLD,Europe,1980,3.12
Norway,NOR,Europe,1980,2.85
Nepal,NPL,Asia,1980,5.959
New Zealand,NZL,Oceania,1980,4.129
Oman,OMN,Middle East,1980,7.247
Pakistan,PAK,Asia,1980,6.6
Panama,PAN,The Americas,1980,5.87
Peru,PER,The Americas,1980,6.971
Philippines,PHL,Asia,1980,7.148
Papua New Guinea,PNG,Oceania,1980,6.275
Poland,POL,Europe,1980,2.98
Puerto Rico,PRI,The Americas,1980,4.657
Portugal,PRT,Europe,1980,3.16
Paraguay,PRY,The Americas,1980,6.5
French Polynesia,PYF,Oceania,1980,5.658
Qatar,QAT,Middle East,1980,6.971
Romania,ROU,Europe,1980,2.34
Russian Federation,RUS,Europe,1980,2.52
Rwanda,RWA,Africa,1980,8.187
Saudi Arabia,SAU,Middle East,1980,7.216
Sudan,SDN,Africa,1980,6.691
Senegal,SEN,Africa,1980,6.951
Singapore,SGP,Asia,1980,5.454
Solomon Islands,SLB,Oceania,1980,6.388
Sierra Leone,SLE,Africa,1980,5.97
El Salvador,SLV,The Americas,1980,6.674
Somalia,SOM,Africa,1980,7.25
South Sudan,SSD,Africa,1980,6.721
Sao Tome and Principe,STP,Africa,1980,6.242
Suriname,SUR,The Americas,1980,6.608
Slovak Republic,SVK,Europe,1980,3.04
Slovenia,SVN,Europe,1980,2.324
Sweden,SWE,Europe,1980,2.17
Swaziland,SWZ,Africa,1980,6.717
Syrian Arab Republic,SYR,Middle East,1980,7.467
Chad,TCD,Africa,1980,6.25
Togo,TGO,Africa,1980,6.521
Thailand,THA,Asia,1980,6.147
Tajikistan,TJK,Asia,1980,6.235
Turkmenistan,TKM,Asia,1980,6.415
Timor-Leste,TLS,Asia,1980,6.373
Tonga,TON,Oceania,1980,7.363
Trinidad and Tobago,TTO,The Americas,1980,5.264
Tunisia,TUN,Africa,1980,7.043
Turkey,TUR,Europe,1980,6.303
Tanzania,TZA,Africa,1980,6.806
Uganda,UGA,Africa,1980,6.999
Ukraine,UKR,Europe,1980,2.24
Uruguay,URY,The Americas,1980,2.88
United States,USA,The Americas,1980,3.654
Uzbekistan,UZB,Asia,1980,6.707
St. Vincent and the Grenadines,VCT,The Americas,1980,7.224
Virgin Islands (U.S.),VIR,The Americas,1980,5.615
Vietnam,VNM,Asia,1980,6.348
Vanuatu,VUT,Oceania,1980,7.197
Samoa,WSM,Oceania,1980,7.651
South Africa,ZAF,Africa,1980,6.173
Zambia,ZMB,Africa,1980,7.018
Zimbabwe,ZWE,Africa,1980,7.158
Aruba,ABW,The Americas,2018,1.669
Afghanistan,AFG,Asia,2018,5.05
Angola,AGO,Africa,2018,6.165
Albania,ALB,Europe,2018,1.771
United Arab Emirates,ARE,Middle East,2018,1.801
Argentina,ARG,The Americas,2018,2.335
Armenia,ARM,Asia,2018,1.553
Antigua and Barbuda,ATG,The Americas,2018,2.088
Australia,AUS,Oceania,2018,1.921
